user_id,total_revenue,currency,total_posts,average_schedule_seconds,total_twitter_post,total_facebook_post,total_pinterest_post,total_instagram_post,total_instagram_story,total_linkedin_post,total_tiktok_post,suggested_hashtags_count,suggested_time_count
-1061970574945339405,38.00,usd,3,275412.5,0,1,0,2,0,0,0,5,3
-1066229023088022186,,,1,352851.0,0,0,0,1,0,0,0,,
-107917820828177159,19.00,usd,,,,,,,,,,0,2
-1116514337704231938,,,2,345632.0,0,1,0,1,0,0,0,7,3
-1205038767369361839,,,2,198029.0,0,0,1,1,0,0,0,0,2
-1232408021217212784,,,,,,,,,,,,13,1
-1320943626619822068,30.00,usd,5,268235.5,0,1,0,4,0,0,0,3,1
-1660451121168657102,,,,,,,,,,,,0,1
-1664641004571275844,9.00,usd,,,,,,,,,,0,1
-1675915774625901833,19.00,usd,2,397825.5,0,1,0,1,0,0,0,6,1
-2011115130227688920,38.00,usd,,,,,,,,,,0,1
-2086632382762886769,,,1,576023.0,0,1,0,0,0,0,0,,
-2289681201979935866,,,1,360029.0,0,0,1,0,0,0,0,2,0
-2310678391727383421,90.00,usd,2,385249.0,0,0,0,2,0,0,0,,
-2342875281951203170,25.36,usd,1,309600.0,0,0,0,1,0,0,0,4,0
-2377089662735596849,30.00,usd,,,,,,,,,,20,0
-2414349905101208903,,,1,,0,0,0,0,1,0,0,1,1
-2651059597082438967,90.00,usd,2,,0,0,0,2,0,0,0,18,2
-291816706313661886,19.00,usd,,,,,,,,,,0,2
-2970876488456256651,19.00,usd,4,416435.6666666667,0,1,0,2,1,0,0,,
-3078337878933468833,,,3,658828.0,0,1,0,2,0,0,0,1,1
-3216578242044633212,108.00,usd,4,,0,2,0,2,0,0,0,27,1
-3427379171389392081,11.14,usd,2,378012.5,0,0,0,2,0,0,0,0,1
-3535701004038495180,18.00,usd,2,464429.0,0,0,0,2,0,0,0,5,1
-3635050695259067221,489.12,usd,2,104440.0,0,0,0,2,0,0,0,35,1
-373505545985629481,,,,,,,,,,,,6,1
-3743874698679816136,15.00,usd,1,244834.0,0,0,0,1,0,0,0,16,1
-3883652604918637812,80.00,usd,6,445223.6666666667,0,1,0,5,0,0,0,0,3
-3945253770595314485,15.00,usd,5,287117.0,0,1,0,4,0,0,0,,
